year,asset_id,native_asset_id,asset_name,iso3_country,original_inventory_sector,activity,emissions_quantity,emissions_quantity_new,emissions_quantity_avoided,annexOrNot,lat,lon
2023,25773313,lmop941,Florence County Lf,USA,solid-waste-disposal,47543.13996,2453.939169,402.2625072,2051.676662,true,33.8664,-79.7418
2023,25768197,epa358,Manchester Landfill,USA,solid-waste-disposal,163730.4533,3435.719831,1385.323365,2050.396466,true,41.7684,-72.5604
2023,25770273,lmop180,Wise County Sanitary Landfill,USA,solid-waste-disposal,51292.08,2484.024142,433.9822889,2050.041853,true,36.93,-82.68
2023,25767938,epa100,City Of Nacogdoches Landfill,USA,solid-waste-disposal,79760.70643,2724.705493,674.8553371,2049.850155,true,31.65,-94.673334
2023,25768225,epa386,South Wake Landfill,USA,solid-waste-disposal,511494.9563,6377.319115,4327.758825,2049.56029,true,35.675,-78.85
2023,726695,mex1963,Tiradero De Calimaya,MEX,solid-waste-disposal,53781.63594,2504.234314,455.0464217,2049.187893,false,19.168593,-99.625435
2023,25769257,eprtr13,Landfill Of The Dobrich Municipality 1,BGR,solid-waste-disposal,47794.76128,2453.018328,404.3914752,2048.626853,true,43.51642,27.799122
2023,25770936,lmop843,Farmer'S Stone Product Company Slf,USA,solid-waste-disposal,47678.01,2451.269528,403.4036426,2047.865886,true,39.7419,-93.7162
2023,25776484,gpw87,"Udanuru, Kalaburagi Taluku, Kalaburagi District",IND,solid-waste-disposal,54158.52563,2503.315372,458.2352853,2045.080086,false,17.2831986,76.78489604
2023,727543,met2347,OpenStreetMap Landfill,ERI,solid-waste-disposal,51177.22302,2473.241657,433.010484,2040.231173,false,15.3549089,38.97868507
2023,729563,met6127,OpenStreetMap Landfill,KAZ,solid-waste-disposal,46945.85136,2436.959144,397.2088484,2039.750296,false,47.75894362,74.04048547
2023,727611,met2415,OpenStreetMap Landfill,THA,solid-waste-disposal,72973.52896,2655.94456,617.4290285,2038.515532,false,16.58495763,98.68256852
2023,25770366,lmop273,Cherokee Nation Slf,USA,solid-waste-disposal,55402.80949,2506.20149,468.7631711,2037.438319,true,35.71223,-94.63732
